molecule,pred_bde,pred_bdfe,bond_index
CCC(C)CC,99.146904,90.18899,17
CCC(C)CC,99.146904,90.18899,18
CC1CCCC1,85.77992,72.84125,0
CC1CCCC1,84.65687,72.38793,1
CC1CCCC1,87.50301,75.289116,2
CC1CCCC1,86.8838,74.317444,3
CC1CCCC1,87.50301,75.289116,4
CC1CCCC1,84.65687,72.38793,5
CC1CCCC1,100.1817,91.10148,6
CC1CCCC1,100.1817,91.10148,7
CC1CCCC1,100.1817,91.10148,8
CC1CCCC1,92.89234,84.13318,9
CC1CCCC1,95.01054,86.82224,10
CC1CCCC1,95.01054,86.82224,11
CC1CCCC1,94.682045,86.50259,12
CC1CCCC1,94.682045,86.50259,13
CC1CCCC1,94.682045,86.50259,14
CC1CCCC1,94.682045,86.50259,15
CC1CCCC1,95.01054,86.82224,16
CC1CCCC1,95.01054,86.82224,17
CC(C)(C)OC,84.74749,70.85782,0
CC(C)(C)OC,84.74749,70.85782,1
CC(C)(C)OC,84.74749,70.85782,2
CC(C)(C)OC,84.18898,69.63799,3
CC(C)(C)OC,83.641174,70.58492,4
CC(C)(C)OC,100.26605,91.566826,5
CC(C)(C)OC,100.26605,91.566826,6
CC(C)(C)OC,100.26605,91.566826,7
CC(C)(C)OC,100.26605,91.566826,8
CC(C)(C)OC,100.26605,91.566826,9
CC(C)(C)OC,100.26605,91.566826,10
CC(C)(C)OC,100.26605,91.566826,11
CC(C)(C)OC,100.26605,91.566826,12
CC(C)(C)OC,100.26605,91.566826,13
CC(C)(C)OC,94.00723,85.51902,14
CC(C)(C)OC,94.00723,85.51902,15
CC(C)(C)OC,94.00723,85.51902,16
C=CCCCC,98.23958,87.23845,0
C=CCCCC,99.167465,85.56037,1
C=CCCCC,74.40789,61.01254,2
C=CCCCC,87.83849,73.14943,3
C=CCCCC,89.103806,75.597885,4
C=CCCCC,109.40853,100.97901,5
C=CCCCC,109.40853,100.97901,6
C=CCCCC,105.55717,96.9446,7
C=CCCCC,83.920265,75.569885,8
C=CCCCC,83.920265,75.569885,9
C=CCCCC,97.51321,88.11124,10
C=CCCCC,97.51321,88.11124,11
C=CCCCC,96.96009,87.67236,12
C=CCCCC,96.96009,87.67236,13
C=CCCCC,100.08239,91.13146,14
C=CCCCC,100.08239,91.13146,15
C=CCCCC,100.08239,91.13146,16
C=COCCO,102.506744,89.915985,0
C=COCCO,101.861176,88.7064,1
C=COCCO,69.22055,54.951904,2
C=COCCO,87.355965,73.26293,3
C=COCCO,97.08482,85.155754,4
C=COCCO,115.417046,105.88741,5
C=COCCO,115.417046,105.88741,6
C=COCCO,108.90803,99.53682,7
C=COCCO,98.11941,88.383,8
C=COCCO,98.11941,88.383,9
C=COCCO,94.35604,85.71104,10
C=COCCO,94.35604,85.71104,11
C=COCCO,104.95292,96.4389,12
CC1CCCO1,86.125465,73.289116,0
CC1CCCO1,85.29975,72.983696,1
CC1CCCO1,90.44115,78.137245,2
CC1CCCO1,85.998604,73.8575,3
CC1CCCO1,84.988434,73.74663,4
CC1CCCO1,82.67319,71.09886,5
CC1CCCO1,101.243614,92.32806,6
CC1CCCO1,101.243614,92.32806,7
CC1CCCO1,101.243614,92.32806,8
CC1CCCO1,91.407875,82.98716,9
CC1CCCO1,97.270485,88.80684,10
CC1CCCO1,97.270485,88.80684,11
CC1CCCO1,96.320435,87.89186,12
CC1CCCO1,96.320435,87.89186,13
CC1CCCO1,92.55019,84.48087,14
CC1CCCO1,92.55019,84.48087,15
C1CC=COC1,73.88276,61.383186,0
C1CC=COC1,97.96099,85.4055,1
C1CC=COC1,94.126366,81.47273,2
C1CC=COC1,90.82941,80.15524,3
C1CC=COC1,70.4436,59.214184,4
C1CC=COC1,87.28149,74.48441,5
C1CC=COC1,98.49528,89.47024,6
C1CC=COC1,98.49528,89.47024,7
C1CC=COC1,82.43742,73.98909,8
C1CC=COC1,82.43742,73.98909,9
C1CC=COC1,110.08614,101.52672,10
C1CC=COC1,105.20315,96.809715,11
C1CC=COC1,94.238976,85.54131,12
C1CC=COC1,94.238976,85.54131,13
CC(COC)O,87.837326,74.392975,0
CC(COC)O,84.23446,70.10771,1
CC(COC)O,87.4998,73.86733,2
CC(COC)O,85.00506,72.26954,3
CC(COC)O,98.71315,86.046196,4
CC(COC)O,101.591644,92.59647,5
CC(COC)O,101.591644,92.59647,6
CC(COC)O,101.591644,92.59647,7
CC(COC)O,92.626595,83.801994,8
CC(COC)O,95.4316,86.339195,9
CC(COC)O,95.4316,86.339195,10
CC(COC)O,95.73211,87.14428,11
CC(COC)O,95.73211,87.14428,12
CC(COC)O,95.73211,87.14428,13
