molecule,match
CCCCCC(CCC)O,False
CCCCCC(O)CC,True
CCCCCC/C(=C(\C)/CCC=C(C)C)/C,False
CCCCCC/C=C(/CCC)\CCCCCCC,False
CCCCCC/C=C\CCCCCCCCCC(=O)OC,False
CCCCCC12CC3CC(C1)CC(C3)C2,True
CCCCCC1=CC=CC=C1,False
CCCCCC1OC(C)C(C)O1,True
CCCCCC=C,True
CCCCCC=CC,True
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC,False
CCCCCC=CCC=CCC=CCCCCC(=O)OC,False
CCCCCC=CCC=CCCCCCCCC(=O)O,False
CCCCCC=CCC=CCCCCCCCC(=O)OC,False
CCCCCC=CCC=CCCCCCCCC(=O)OCC,True
CCCCCC=CCC=CCCCCCCCC(=O)OCCC,False
CCCCCC=CCC=CCCCCCCCC(=O)OCCCC,False
CCCCCC=CCC=CCCCCCCCCO,False
CCCCCC=O,False
CCCCCCC,False
CCCCCCC(=C(C)CCC=C(C)C)C,False
CCCCCCC(=O)C,True
CCCCCCC(=O)CC,True
CCCCCCC(=O)OC,True
CCCCCCC(C)(C)C,True
CCCCCCC(C)C,True
CCCCCCC(C)C(C)CCCCCC,True
CCCCCCC(C)C=CC(C)CCCCCC,True
CCCCCCC(C)CCC(C)C,False
CCCCCCC(C)CCCC,True
CCCCCCC(C)c1ccccc1,False
CCCCCCC(CC)(CC)c1ccc2ccccc2c1,False
CCCCCCC(CC)C(CC)CCCCCC,True
CCCCCCC(CC=CCCCCCCCC(=O)OC)O,False
CCCCCCC(CCC)CCC,True
CCCCCCC(CCCC)CCCCCC,False
CCCCCCC(CCCCCC)c1ccccc1,False
CCCCCCC/C(=C/CCC)/CCCC,False
CCCCCCC/C=C(\C)/CCCCCCCC,False
CCCCCCC1=CC=CC=C1,False
CCCCCCC1CCCC(=O)O1,False
CCCCCCC1CCCCC1,True
CCCCCCC=C,False
CCCCCCC=CCCCCCCCC(=O)OC,False
CCCCCCC=CCCCCCCCCO,False
CCCCCCCC,False
CCCCCCCC(=O)C,False
CCCCCCCC(=O)OC,False
CCCCCCCC(=O)OCC,True
CCCCCCCC(=O)OCCC,False
CCCCCCCC(=O)OCCCC,False
CCCCCCCC(C)O,True
CCCCCCCC(CC(C)C)(CC(C)C)c1ccccc1,False
CCCCCCCC(CC)CC,False
CCCCCCCC(CCC)=CCCCCCC,False
CCCCCCCC(CCC)CCCCCCC,False
CCCCCCCC(CCCC)CCCC,True
CCCCCCCC/C=C/CCCCCCCC(=O)OC,False
CCCCCCCC/C=C\CCCCCCC(CC)C(=O)[O-],False
CCCCCCCC/C=C\CCCCCCCC(=O)O,False
CCCCCCCC/C=C\CCCCCCCC(=O)OC,False
CCCCCCCC/C=C\CCCCCCCC(=O)OC(C)C,False
CCCCCCCC/C=C\CCCCCCCC(=O)OCC,False
CCCCCCCC/C=C\CCCCCCCC(=O)OCCC,False
CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,False
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,False
CCCCCCCC1=CC=CC=C1,False
CCCCCCCC1=CC=CO1,False
CCCCCCCC1CCC(=O)O1,False
CCCCCCCC1OC(C)C(C)O1,True
CCCCCCCC=C,False
CCCCCCCC=C(CCCCCC)CCCCCC,False
CCCCCCCC=CC(=O)OCC,False
CCCCCCCC=O,False
CCCCCCCCC,False
CCCCCCCCC(=O)OC,False
CCCCCCCCC(C)(C)C1CCCC2CCCCC21,True
